name,year,selling_price,km_driven,fuel,seller_type,transmission,owner
Toyota Corolla Altis G AT,2016,900000.0,50000.0,2,0,1,4
Toyota Innova 2.5 G (Diesel) 7 Seater,2015,1300000.0,80000.0,3,0,0,4
Mercedes-Benz E-Class E 200 CGI Elegance,2010,850000.0,60000.0,2,1,1,4
Hyundai i10 Magna 1.1L,2014,229999.0,60000.0,2,0,0,1
BMW 3 Series 320d Sport Line,2013,1550000.0,75800.0,3,1,1,3
Audi Q7 35 TDI Quattro Premium,2009,1250000.0,78000.0,3,1,1,2
Hyundai Elantra CRDi S,2012,625000.0,40000.0,3,0,0,4
Mahindra Scorpio 1.99 S10,2014,1050000.0,50000.0,3,0,0,4
Honda City i DTEC V,2014,560000.0,60000.0,3,0,0,3
Maruti Wagon R VXI BS IV with ABS,2014,290000.0,64000.0,2,0,0,3
Maruti Wagon R VXI BS IV,2012,275000.0,60000.0,2,0,0,3
Mahindra Scorpio LX,2009,411000.0,120000.0,3,0,0,3
Hyundai Santro Xing GLS,2009,150000.0,79000.0,2,0,0,2
Maruti Alto LXi,2006,100000.0,80000.0,2,0,0,4
Maruti Swift Dzire VDI Optional,2017,725000.0,18500.0,3,1,0,4
Maruti Swift ZDi BSIV,2016,665000.0,46000.0,3,1,0,4
Hyundai i20 2015-2017 Sportz Option 1.4 CRDi,2014,465000.0,70000.0,3,1,0,4
Maruti Alto LXi,2012,160000.0,60000.0,2,0,0,3
Honda City i DTEC VX,2014,675000.0,90000.0,3,1,0,4
Maruti Wagon R VXI BS IV,2013,300000.0,80000.0,2,1,0,4
Hyundai EON Magna Plus,2014,240000.0,73300.0,2,1,0,3
Toyota Etios GD,2014,525000.0,92000.0,3,1,0,4
Maruti Alto LXi,2009,151000.0,66764.0,2,1,0,3
Maruti Alto LXi,2009,140000.0,100000.0,2,0,0,4
Mahindra Scorpio 1.99 S6 Plus,2017,570000.0,60000.0,3,0,0,4
Tata Indigo Classic Dicor,2007,100000.0,39000.0,3,0,0,4
Toyota Innova 2.5 V Diesel 8-seater,2009,500000.0,120000.0,3,0,0,2
Tata Indica Vista Quadrajet LS,2014,125000.0,166000.0,3,0,0,1
Maruti Swift 1.3 VXi,2006,130000.0,110000.0,2,0,0,2
Ford EcoSport 1.5 Diesel Titanium BSIV,2017,925000.0,35000.0,3,0,0,4
Honda Civic 1.8 V AT,2007,200000.0,54000.0,2,0,1,3
Hyundai i10 Sportz 1.2,2010,248000.0,63000.0,2,0,0,3
Skoda Rapid 1.5 TDI Elegance,2014,450000.0,120000.0,3,0,0,3
Nissan Terrano XL,2014,650000.0,76000.0,2,0,0,3
Hyundai Grand i10 CRDi Sportz,2015,450000.0,80000.0,3,0,0,4
Honda Amaze S i-VTEC,2016,495000.0,11958.0,2,1,0,4
Honda Brio S MT,2015,371000.0,20000.0,2,1,0,4
Hyundai Creta 1.6 SX Option,2017,1025000.0,9000.0,2,1,0,4
Mercedes-Benz S-Class S 350d Connoisseurs Edition,2017,350000.0,6500.0,3,1,1,4
Mahindra XUV500 W8 2WD,2015,750000.0,70000.0,3,0,0,4
Renault Duster 85PS Diesel RxL Optional,2013,600000.0,120000.0,3,0,0,4
Hyundai Santro Xing XO,2007,80000.0,58000.0,2,1,0,3
Mahindra Bolero 2011-2019 SLE,2013,325000.0,62200.0,3,1,0,4
Audi A6 2.0 TDI Premium Plus,2014,1470000.0,34000.0,3,1,1,3
Fiat Avventura MULTIJET Emotion,2015,350000.0,53000.0,3,0,0,3
Audi A8 4.2 TDI,2013,2800000.0,49000.0,3,1,1,4
Datsun RediGO 1.0 S,2017,210000.0,15000.0,2,1,0,3
Volkswagen Jetta 1.4 TSI Comfortline,2013,450000.0,50000.0,2,0,0,4
Audi A4 2.0 TDI 177 Bhp Premium Plus,2013,1150000.0,53000.0,3,1,1,4
Honda Civic 1.8 V AT,2009,210000.0,63500.0,2,1,1,4
BMW X1 sDrive 20d xLine,2017,2750000.0,13000.0,3,0,1,4
Maruti SX4 Zxi BSIII,2008,175000.0,29173.0,2,1,0,4
BMW 7 Series 730Ld,2012,2500000.0,48000.0,3,1,1,4
Mahindra Bolero Power Plus SLX,2017,628000.0,120000.0,3,0,0,4
Hyundai Sonata CRDi M/T,2010,600000.0,100000.0,3,0,0,4
Nissan Micra Active XV Petrol,2017,399000.0,30000.0,2,0,0,4
Renault KWID RXT,2017,315000.0,16000.0,2,0,0,4
Mahindra Xylo E4 BS III,2012,600000.0,60000.0,3,0,0,4
Maruti Wagon R LXI Minor,2010,100000.0,60000.0,2,0,0,1
Maruti SX4 ZXI MT BSIV,2011,250000.0,110000.0,2,0,0,2
Renault KWID RXT,2017,350000.0,25000.0,2,0,0,4
Hyundai Creta 1.4 CRDi S,2016,780000.0,60000.0,3,0,0,4
Maruti Swift Dzire VDI,2014,434000.0,79350.0,3,0,0,3
Hyundai Verna 1.6 VTVT AT S Option,2016,690000.0,80000.0,2,0,1,4
Mahindra Scorpio LX BSIV,2014,555000.0,90000.0,3,0,0,3
Maruti SX4 Vxi BSIII,2007,120000.0,90000.0,2,0,0,3
Maruti Ertiga VDI,2014,500000.0,120000.0,3,0,0,3
Chevrolet Beat Diesel,2013,165000.0,60000.0,3,0,0,3
Maruti Swift Vdi BSIII,2007,100000.0,110000.0,3,0,0,1
Tata Nano Lx BSIV,2012,100000.0,50000.0,2,0,0,3
Toyota Innova 2.5 GX (Diesel) 8 Seater,2012,500000.0,100000.0,3,0,0,4
Maruti Ertiga SHVS VDI,2016,800000.0,70000.0,3,0,0,3
Hyundai Creta 1.6 CRDi SX,2016,840000.0,70000.0,3,0,0,3
Honda Amaze S i-Vtech,2016,490000.0,50000.0,2,0,0,4
Tata Indica Vista Aqua 1.4 TDI,2010,125000.0,81000.0,3,0,0,3
Chevrolet Tavera Neo 2 LS B4 7 Str BSIII,2012,400000.0,120000.0,3,0,0,2
Ford Figo Aspire 1.2 Ti-VCT Titanium Plus,2015,530000.0,14272.0,2,1,0,4
Ford EcoSport 1.5 Diesel Titanium Plus BSIV,2017,840000.0,49213.0,3,1,0,4
Hyundai i10 Sportz 1.1L,2015,229999.0,40000.0,2,0,0,4
Chevrolet Spark 1.0 LS,2012,130000.0,80000.0,2,0,0,4
Hyundai EON Era Plus,2015,200000.0,70000.0,2,0,0,4
Tata Indica Vista Aqua TDI BSIII,2011,120000.0,70000.0,3,0,0,4
Tata Bolt Quadrajet XE,2016,250000.0,120000.0,3,0,0,4
Maruti Ciaz VDi Plus,2015,525000.0,100000.0,3,0,0,4
Hyundai i20 Asta 1.4 CRDi,2016,430000.0,80000.0,3,0,0,4
Hyundai Santro Xing XL eRLX Euro III,2007,75000.0,114000.0,2,0,0,3
Hyundai Getz 1.3 GLS,2008,210000.0,53772.0,2,0,0,4
Mahindra Quanto C8,2012,350000.0,140000.0,3,0,0,3
Chevrolet Tavera Neo 3 LS 7 C BSIII,2015,400000.0,120000.0,3,0,0,4
Hyundai EON Magna Plus,2012,170000.0,60000.0,2,0,0,4
Renault KWID RXT,2016,225000.0,25000.0,2,0,0,4
Maruti Wagon R DUO LPG,2014,210000.0,90000.0,0,0,0,4
Chevrolet Enjoy 1.3 TCDi LS 8,2015,300000.0,175000.0,3,0,0,4
Chevrolet Spark 1.0 LS,2011,99000.0,100000.0,2,0,0,2
Honda City i VTEC SV,2014,620000.0,36000.0,2,0,0,4
Honda Amaze VX i-DTEC,2013,500000.0,30000.0,3,0,0,4
Jaguar XJ 5.0 L V8 Supercharged,2010,2550000.0,40000.0,2,0,1,3
Honda Brio E MT,2013,260000.0,70000.0,2,0,0,3
Maruti Swift VVT ZXI,2017,550000.0,60000.0,2,0,0,4
Tata Indigo CR4,2011,150000.0,155500.0,3,0,0,4
Hyundai i10 Asta AT,2011,350000.0,50000.0,2,0,1,3
Chevrolet Beat LT,2016,320000.0,40000.0,2,0,0,4
Maruti Swift VDI BSIV,2015,400000.0,100000.0,3,0,0,2
Maruti Alto LXi,2012,175000.0,80000.0,2,0,0,2
Chevrolet Beat LT,2011,120000.0,90000.0,2,0,0,3
Renault Duster 110PS Diesel RxZ,2013,320000.0,90000.0,3,0,0,3
Hyundai Santro Xing XG,2006,70000.0,110000.0,2,0,0,2
Maruti 800 AC,2007,95000.0,100000.0,2,0,0,3
Tata Nano LX SE,2013,72000.0,25000.0,2,0,0,4
Hyundai i20 Magna 1.2,2016,600000.0,25000.0,2,0,0,4
Skoda Rapid 1.6 MPI Ambition With Alloy Wheel,2015,640000.0,23000.0,2,0,0,4
Maruti Alto LX,2009,150000.0,60000.0,2,0,0,3
Hyundai i20 Asta,2009,280000.0,110000.0,2,0,0,3
Volkswagen Vento Celeste 1.5 TDI Highline AT,2016,650000.0,70000.0,3,0,1,4
Maruti Eeco 7 Seater Standard BSIV,2017,390000.0,24000.0,2,0,0,4
Mercedes-Benz New C-Class 220 CDI AT,2013,1500000.0,35000.0,3,0,1,4
Maruti SX4 Zxi with Leather BSIII,2007,175000.0,78380.0,2,0,0,4
Renault Duster 110PS Diesel RxZ,2012,434999.0,110000.0,3,0,0,3
Ford Figo Diesel Titanium,2010,170000.0,90000.0,3,0,0,2
Ford Figo Diesel Titanium,2011,190000.0,90000.0,3,0,0,2
Maruti Swift Dzire VDi,2009,250000.0,150000.0,3,0,0,2
Maruti Esteem Vxi - BSIII,2006,140000.0,70000.0,2,0,0,2
Maruti Swift VDI BSIV,2017,600000.0,80362.0,3,0,0,4
Hyundai i20 1.2 Sportz,2012,280000.0,110000.0,2,0,0,2
Chevrolet Beat Diesel LT,2012,150000.0,60000.0,3,0,0,4
Chevrolet Cruze LTZ AT,2015,650000.0,50000.0,3,0,1,4
Nissan Micra XL,2014,210000.0,40000.0,2,0,0,3
BMW 5 Series 520d Luxury Line,2017,2900000.0,40000.0,3,0,1,4
Chevrolet Enjoy 1.3 TCDi LS 8,2013,425000.0,20000.0,3,1,0,4
Hyundai EON Era Plus Option,2014,265000.0,55000.0,2,1,0,4
Renault Scala RxL,2013,365000.0,55000.0,2,1,0,4
Ford Figo Petrol Titanium,2014,350000.0,43000.0,2,1,0,4
Maruti Ciaz ZDi SHVS,2016,685000.0,60000.0,3,0,0,4
Mahindra XUV500 W6 2WD,2017,1000000.0,40000.0,3,0,0,4
Maruti Ertiga SHVS ZDI,2016,450000.0,115962.0,3,0,0,3
Nissan Terrano XE D,2015,590000.0,65000.0,3,1,0,4
Maruti S-Cross Facelift,2017,800000.0,40000.0,3,0,0,4
Hyundai i20 Magna 1.4 CRDi (Diesel),2012,385000.0,58000.0,3,1,0,4
Mercedes-Benz New C-Class C 220 CDI BE Avantgare,2013,2000000.0,15000.0,3,0,1,4
Hyundai EON Era Plus,2012,235000.0,54000.0,2,1,0,4
Volkswagen Ameo 1.5 TDI Highline,2017,640000.0,56000.0,3,1,0,4
Maruti Alto LX,2006,52000.0,120000.0,2,0,0,2
Maruti Omni LPG CARGO BSIII W IMMOBILISER,2009,80000.0,90000.0,0,0,0,3
Maruti Alto LX,2012,140000.0,70000.0,2,0,0,3
Hyundai Verna i (Petrol),2008,120000.0,90000.0,2,0,0,3
Chevrolet Optra Magnum 2.0 LS BSIII,2012,180000.0,120000.0,3,0,0,4
Mahindra Scorpio S11 BSIV,2017,1500000.0,20000.0,3,0,0,4
Hyundai i20 Active 1.2 SX,2017,700000.0,10000.0,2,0,0,4
Maruti SX4 Celebration Diesel,2012,285000.0,80000.0,3,0,0,3
Hyundai Grand i10 Magna,2015,390000.0,90000.0,2,0,0,4
Maruti Alto LXi BSIII,2008,125000.0,80000.0,2,0,0,4
Maruti SX4 Zxi with Leather BSIII,2008,225000.0,60000.0,2,0,0,3
Hyundai i10 Era,2011,175000.0,139000.0,2,0,0,3
Toyota Innova 2.5 V Diesel 7-seater,2011,1075000.0,160000.0,3,0,0,3
Honda Mobilio V i DTEC,2014,300000.0,60000.0,3,0,0,4
Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,2010,700000.0,163000.0,3,0,0,1
Tata Indica V2 2001-2011 DLS BSIII,2009,90000.0,120000.0,3,1,0,4
Tata Indica Vista TDI LS,2011,120000.0,120000.0,3,0,0,3
Chevrolet Beat Diesel LS,2012,220000.0,100000.0,3,0,0,3
Tata Zest Quadrajet 1.3 75PS XE,2015,300000.0,140000.0,3,1,0,4
Skoda Fabia 1.2L Diesel Ambiente,2010,180000.0,87000.0,3,1,0,3
Maruti 800 Std,2013,170000.0,70000.0,2,0,0,4
Ford Figo Petrol Titanium,2015,300000.0,50000.0,2,0,0,3
Toyota Innova 2.5 VX (Diesel) 8 Seater,2014,1050000.0,70000.0,3,0,0,4
Honda Mobilio V i DTEC,2014,300000.0,150000.0,3,0,0,4
Chevrolet Beat Diesel LT,2011,130000.0,80000.0,3,0,0,3
Maruti Baleno Alpha 1.2,2017,625000.0,52000.0,2,1,0,4
Ford Fiesta Classic 1.4 SXI Duratorq,2006,110000.0,120000.0,3,0,0,2
Hyundai Grand i10 CRDi Magna,2017,490000.0,66000.0,3,1,0,4
Maruti Ertiga SHVS ZDI,2017,880000.0,64000.0,3,1,0,4
Hyundai Santro Xing GL Plus,2013,290000.0,49000.0,2,0,0,4
Tata Sumo GX TC 7 Str BSIII,2006,115999.0,100000.0,3,0,0,3
Maruti Vitara Brezza LDi Option,2017,685000.0,72000.0,3,1,0,4
Honda Jazz S,2009,300000.0,50000.0,2,0,0,4
Hyundai i20 1.4 Sportz,2017,680000.0,44000.0,3,1,0,4
Maruti Ertiga SHVS ZDI Plus,2017,1000000.0,60000.0,3,0,0,3
Mahindra Xylo E4,2010,160000.0,130000.0,3,0,0,4
Maruti Swift ZDi BSIV,2017,450000.0,70000.0,3,0,0,4
Maruti Ertiga VXI,2014,600000.0,20000.0,2,0,0,4
Hyundai i20 1.4 Magna ABS,2009,180000.0,60000.0,3,0,0,3
Maruti Alto LXi,2010,120000.0,90000.0,2,0,0,3
Hyundai Getz GL,2006,130000.0,80000.0,2,0,0,2
Maruti Wagon R LX BS IV,2011,160000.0,155000.0,2,0,0,4
Maruti Wagon R LXI Minor,2010,100000.0,80000.0,2,0,0,3
Maruti Alto 800 VXI,2017,282000.0,20000.0,2,0,0,4
Hyundai i20 Asta (o),2009,300000.0,50000.0,2,0,0,4
Hyundai i20 Asta,2010,270000.0,110000.0,2,0,0,3
Hyundai Verna 1.6 SX CRDi (O),2013,550000.0,29000.0,3,0,0,4
Mahindra Xylo D2 BSIV,2013,450000.0,120000.0,3,0,0,4
Mahindra Bolero SLX 2WD BSIII,2011,430000.0,70000.0,3,0,0,3
Maruti Ertiga VXI ABS,2013,350000.0,40000.0,2,0,0,4
Honda Brio 1.2 E MT,2017,350000.0,20000.0,2,0,0,4
Toyota Etios Liva G,2013,229999.0,50000.0,2,0,0,3
Maruti Alto 800 LXI,2013,110000.0,50000.0,2,0,0,4
Maruti Swift Dzire 1.2 Vxi BSIV,2012,395000.0,49000.0,2,0,0,3
Mahindra Scorpio VLS AT 2.2 mHAWK,2011,650000.0,70000.0,3,0,1,3
Mahindra Bolero SLX,2011,350000.0,90000.0,3,0,0,3
Renault Duster 110PS Diesel RxL,2015,800000.0,15000.0,3,0,0,4
Maruti Wagon R VXI,2014,315000.0,41000.0,2,1,0,4
Chevrolet Spark 1.0 LT,2012,125000.0,28000.0,2,0,0,4
Hyundai EON 1.0 Kappa Magna Plus,2015,160000.0,70000.0,2,0,0,4
Ford Figo Aspire 1.2 Ti-VCT Trend,2017,530000.0,10832.0,2,1,0,4
Hyundai i10 Era,2009,250000.0,50000.0,2,0,0,4
Mahindra Bolero SLX,2016,585000.0,51000.0,3,1,0,4
Hyundai Verna 1.4 VTVT,2015,500000.0,25000.0,2,0,0,4
Chevrolet Sail 1.2 LT ABS,2014,350000.0,30000.0,2,0,0,4
Honda City i-DTEC SV,2014,495000.0,80000.0,3,1,0,4
Hyundai Grand i10 1.2 Kappa Asta,2017,500000.0,50000.0,2,0,0,4
Hyundai Grand i10 1.2 Kappa Sportz Option,2013,345000.0,44000.0,2,1,0,4
Maruti Baleno Sigma 1.2,2015,500000.0,10000.0,2,0,0,4
Chevrolet Beat Diesel LS,2011,106000.0,50000.0,3,0,0,4
Maruti A-Star Vxi,2009,180000.0,46730.0,2,0,0,4
Datsun GO A,2015,250000.0,40000.0,2,0,0,3
Skoda Yeti Ambition 4WD,2011,350000.0,80000.0,3,0,0,4
Ford Aspire Titanium Diesel BSIV,2017,700000.0,21170.0,3,1,0,4
BMW 3 Series 320d Sport,2013,2000000.0,167223.0,3,1,1,4
Maruti Ertiga SHVS ZDI Plus,2017,1000000.0,40000.0,3,0,0,4
BMW X1 sDrive 20d Exclusive,2011,1375000.0,60000.0,3,0,1,4
Toyota Innova Crysta 2.4 VX MT,2016,1800000.0,141440.0,3,1,0,4
Chevrolet Tavera Neo 3 10 Seats BSIV,2007,160000.0,120000.0,3,0,0,2
Mitsubishi Outlander 2.4,2012,525000.0,140000.0,2,0,1,4
Ford Figo Aspire 1.5 TDCi Titanium,2017,700000.0,88635.0,3,1,0,4
Hyundai i20 1.2 Spotz,2017,575000.0,20000.0,2,0,0,3
Renault Duster 110PS Diesel RxZ,2012,350000.0,110000.0,3,0,0,3
Maruti Swift Vdi BSIII,2008,250000.0,120000.0,3,0,0,2
Ford Endeavour Titanium 4X2,2011,600000.0,149674.0,3,1,0,3
Mahindra Scorpio 2.6 Turbo 9 Str,2007,370000.0,100000.0,3,0,0,2
Maruti Baleno Vxi,2006,80000.0,120000.0,2,0,0,2
Maruti Wagon R VXI BS IV,2014,300000.0,35000.0,2,0,0,3
Maruti Swift Dzire VDI,2015,490000.0,60000.0,3,0,0,3
Toyota Etios Liva GD,2012,300000.0,50000.0,3,0,0,3
Tata Nano STD,2013,55000.0,25000.0,2,0,0,1
Hyundai Grand i10 Sportz,2016,350000.0,25000.0,2,0,0,4
Maruti Ertiga SHVS VDI,2017,720000.0,60000.0,3,0,0,4
Volkswagen Polo Petrol Comfortline 1.2L,2013,400000.0,100000.0,2,0,0,4
Hyundai Xcent 1.1 CRDi Base,2015,350000.0,70000.0,3,0,0,3
Chevrolet Beat Diesel PS,2012,159000.0,68000.0,3,1,0,4
Maruti Swift ZXi BSIV,2017,550000.0,38000.0,2,1,0,4
Maruti Ritz VDi,2013,335000.0,80000.0,3,1,0,4
Tata Indigo CS Emax CNG GLX,2014,185000.0,72000.0,1,1,0,4
Maruti Eeco 5 STR With AC Plus HTR CNG,2012,229999.0,75000.0,1,1,0,4
Maruti Estilo LXI,2014,225000.0,43000.0,2,1,0,4
Maruti Swift VXI with ABS,2007,250000.0,120000.0,2,0,0,3
Tata Zest Quadrajet 1.3 XM,2015,400000.0,100000.0,3,0,0,4
Maruti Swift VDI BSIV,2014,470000.0,163000.0,3,0,0,4
Maruti Alto LX,2011,145000.0,25000.0,2,0,0,4
Maruti SX4 Vxi BSIII,2007,100000.0,90000.0,2,0,0,3
Mahindra Scorpio SLE BSIV,2014,500000.0,70000.0,3,0,0,3
Hyundai Santro Xing GLS CNG,2010,130000.0,98000.0,1,0,0,3
Chevrolet Cruze LTZ,2010,240000.0,81925.0,3,0,0,4
Ford Figo Diesel Celebration Edition,2013,150000.0,80000.0,3,0,0,3
Renault KWID RXT Optional,2017,270000.0,40000.0,2,0,0,4
Maruti Swift Dzire VDI,2014,400000.0,90000.0,3,0,0,4
Hyundai EON Era Plus,2012,200000.0,46000.0,2,0,0,4
Mahindra XUV500 W6 2WD,2012,550000.0,80000.0,3,0,0,4
Skoda Rapid 1.5 TDI AT Style BSIV,2017,860000.0,82080.0,3,0,1,4
Chevrolet Spark 1.0,2009,125000.0,70000.0,2,0,0,4
Chevrolet Tavera Neo 3 10 Seats BSIV,2010,300000.0,120000.0,3,0,0,2
Ford Fiesta 1.6 ZXi Duratec,2007,190000.0,60000.0,2,0,0,2
Maruti Ertiga VDI,2013,400000.0,110000.0,3,0,0,4
Tata Manza Aura Quadrajet BS IV,2011,260000.0,97000.0,3,0,0,3
Maruti Swift VVT VXI,2017,400000.0,30000.0,2,0,0,4
Hyundai i20 Sportz Petrol,2010,250000.0,40000.0,2,0,0,4
Maruti Zen Estilo VXI BSIV,2010,175000.0,52047.0,2,0,0,4
Maruti Swift VXI BSIII,2011,250000.0,70000.0,2,0,0,3
Maruti Swift VDI BSIV,2017,600000.0,90000.0,3,0,0,4
Maruti Alto 800 LXI,2016,130000.0,40000.0,2,0,0,4
Maruti Wagon R LXI,2006,90000.0,62009.0,2,0,0,3
Hyundai i20 Active 1.2 S,2017,595000.0,33100.0,2,0,0,3
Hyundai EON Era Plus,2014,190000.0,40000.0,2,0,0,3
Maruti Wagon R LXI Minor,2007,95000.0,80000.0,2,0,0,4
Tata Safari Storme VX,2016,1000000.0,70000.0,3,0,0,4
Mahindra Bolero SLX,2010,400000.0,50000.0,3,0,0,4
Datsun GO Plus A,2015,315000.0,45000.0,2,0,0,3
Toyota Fortuner 4x4 MT,2014,1000000.0,110000.0,3,0,0,4
Ford Ecosport 1.5 DV5 MT Titanium,2014,500000.0,49000.0,3,0,0,4
Mahindra Supro VX 8 Str,2017,500000.0,160000.0,3,0,0,4
Maruti Alto LX,2007,70000.0,180000.0,2,0,0,2
Maruti 800 AC,2007,105000.0,60000.0,2,0,0,3
Ford Endeavour 2.5L 4X2 MT,2008,400000.0,110000.0,3,0,0,2
Maruti Alto 800 VXI,2016,300000.0,30000.0,2,0,0,4
Mahindra KUV 100 D75 K2,2017,409999.0,40000.0,3,0,0,4
Maruti Swift Glam,2009,250000.0,70000.0,2,0,0,4
Tata New Safari DICOR 2.2 EX 4x2,2010,250000.0,120000.0,3,0,0,3
Maruti Swift Dzire VDI,2012,215000.0,80000.0,3,0,0,2
Toyota Fortuner 4x4 MT,2015,1400000.0,120000.0,3,0,0,4
Chevrolet Spark 1.0 LS,2008,75000.0,35000.0,2,0,0,3
Chevrolet Sail Hatchback LS ABS,2013,200000.0,120000.0,3,0,0,3
Maruti Ritz VDi,2011,150000.0,40000.0,3,0,0,3
Ford Endeavour 2.5L 4X2 MT,2011,550000.0,54000.0,3,0,0,3
Hyundai Verna 1.4 VTVT,2017,330000.0,80577.0,2,0,0,4
Honda City i-DTEC V,2017,1044999.0,25000.0,3,0,0,4
Hyundai Verna 1.6 CRDI,2011,300000.0,127500.0,3,0,0,3
Hyundai EON D Lite Plus,2015,235000.0,40903.0,2,1,0,4
Ford Figo Petrol Titanium,2011,120000.0,60000.0,2,0,0,2
Volkswagen Jetta 2.0 TDI Trendline,2011,270000.0,180000.0,3,0,0,3
Volkswagen Polo 1.5 TDI Highline,2015,500000.0,30000.0,3,0,0,3
Hyundai Grand i10 Sportz,2015,400000.0,61690.0,2,1,0,4
Hyundai i20 Asta 1.2,2015,600000.0,64484.0,2,1,0,4
Audi Q5 2.0 TDI,2012,1350000.0,90000.0,3,0,1,3
Renault Duster 85PS Diesel RxE,2013,400000.0,75976.0,3,1,0,3
Ford Figo Diesel Titanium,2011,220000.0,70000.0,3,0,0,3
Honda Brio E MT,2012,300000.0,85962.0,2,1,0,3
Honda Mobilio V i DTEC,2015,600000.0,120000.0,3,0,0,4
Honda Brio S Option AT,2012,285000.0,75000.0,2,0,1,3
Honda Accord 2.4 MT,2009,350000.0,57035.0,2,1,0,4
Mahindra Bolero SLX,2011,170000.0,70000.0,3,0,0,2
Ford Figo 1.2P Ambiente MT,2015,229999.0,45000.0,2,0,0,4
Mahindra XUV500 W6 2WD,2013,500000.0,72104.0,3,1,0,3
Tata Nano Lx,2011,75000.0,15000.0,2,0,0,4
Hyundai i20 Active 1.2 SX,2016,600000.0,30000.0,2,0,0,4
Tata Indigo LS Dicor,2011,220000.0,80000.0,3,0,0,4
Tata Indica Vista Terra 1.4 TDI,2009,150000.0,164000.0,3,0,0,3
Maruti Alto LX,2006,65000.0,124439.0,2,0,0,3
Maruti Zen VXI,2006,120000.0,77000.0,2,0,0,3
Maruti Swift Dzire VDI,2014,240000.0,90000.0,3,0,0,4
Renault KWID 1.0 RXT Optional,2017,390000.0,30000.0,2,0,0,4
Chevrolet Beat LS,2012,180000.0,50000.0,2,0,0,4
Maruti Swift VDI,2012,320000.0,80000.0,3,0,0,3
Maruti Ertiga SHVS VDI,2016,550000.0,78000.0,3,0,0,2
Tata Zest Revotron 1.2 XT,2015,380000.0,17152.0,2,0,0,4
Volkswagen Polo Diesel Trendline 1.2L,2012,350000.0,77000.0,3,0,0,4
Hyundai Verna CRDi,2008,195000.0,90000.0,3,0,0,3
Chevrolet Beat LS,2011,225000.0,80000.0,2,0,0,3
Toyota Innova 2.5 G (Diesel) 7 Seater,2015,1125000.0,65000.0,3,0,0,4
Tata Indica Vista Quadrajet LX,2011,133000.0,80000.0,3,0,0,4
Hyundai EON Era Plus,2013,200000.0,24005.0,2,0,0,4
Renault Duster 85PS Diesel RxL,2014,400000.0,120000.0,3,0,0,4
Hyundai i10 Era 1.1,2009,120000.0,120000.0,2,0,0,3
Maruti Swift Dzire ZDI,2015,625000.0,80000.0,3,0,0,4
Renault Duster 110PS Diesel RxZ,2012,490000.0,100000.0,3,0,0,4
Maruti Alto LX,2009,140000.0,120000.0,2,0,0,3
Ford Figo Diesel ZXI,2011,175000.0,149000.0,3,0,0,3
Maruti Swift Ldi BSIV,2009,275000.0,100000.0,3,0,0,3
